002-23,"01:17.8N – 104:10.5E, Singapore Straits.Around three to four robbers, in fishing boats, boarded a barge under tow. It is understood that some of the scrap metal transported by the barge was stolen. Incident reported to Singapore VTS and a coast guard boat responded. All crew members safe.",2023-01-04,2023-01-16 20:34, Singapore Straits,"(None, None)"
001-23,"12:01.5S – 077:12.0W, Callao Anchorage, Peru.Four robbers armed with knives boarded an anchored general cargo ship via the anchor chain and broke into the forecastle store. Duty watchman on routine rounds was threatened with a knife as he approached the forecastle and he immediately notified the bridge. Alarm raised, ship’s horn sounded, and crew mustered. Hearing the alarm and seeing the crew alertness, the robbers escaped without stealing anything. Local authorities informed through the agents.",2023-01-09,2023-01-16 20:34, Callao Anchorage,"(None, None)"
