Winter Weather Advisory issued January 16 at 1:16PM MST until January 18 at 5:00AM MST by NWS GrandJunctionWinter Weather Advisory,17 minutes ago,United States of America,La Sal and Abajo Mountains,"Region IV - North America, Central America and the CaribbeanRegion V - South West Pacific",2023-01-16 20:33,"La Sal and Abajo Mountains, United States of America","(None, None)"
Winter Weather Advisory issued January 16 at 1:16PM MST until January 18 at 5:00AM MST by NWS GrandJunctionWinter Weather Advisory,17 minutes ago,United States of America,Southeast Utah,"Region IV - North America, Central America and the CaribbeanRegion V - South West Pacific",2023-01-16 20:33,"Southeast Utah, United States of America","(None, None)"
Winter Weather Advisory issued January 16 at 1:16PM MST until January 18 at 5:00PM MST by NWS GrandJunctionWinter Weather Advisory,17 minutes ago,United States of America,"Gore and Elk Mountains, Central Mountain Valleys...","Region IV - North America, Central America and the CaribbeanRegion V - South West Pacific",2023-01-16 20:33,"Gore and Elk Mountains, Central Mountain Valleys..., United States of America","(None, None)"
Winter Weather Advisory issued January 16 at 1:16PM MST until January 18 at 5:00PM MST by NWS GrandJunctionWinter Weather Advisory,17 minutes ago,United States of America,Elkhead and Park Mountains,"Region IV - North America, Central America and the CaribbeanRegion V - South West Pacific",2023-01-16 20:33,"Elkhead and Park Mountains, United States of America","(None, None)"
Winter Weather Advisory issued January 16 at 1:16PM MST until January 18 at 11:00AM MST by NWS GrandJunctionWinter Weather Advisory,17 minutes ago,United States of America,Grand and Battlement Mesas; West Elk and Sawatch Mountains...,"Region IV - North America, Central America and the CaribbeanRegion V - South West Pacific",2023-01-16 20:33,"Grand and Battlement Mesas; West Elk and Sawatch Mountains..., United States of America","(None, None)"
Winter Weather Advisory issued January 16 at 1:16PM MST until January 18 at 11:00AM MST by NWS GrandJunctionWinter Weather Advisory,17 minutes ago,United States of America,"Flat Tops; Northwestern San Juan Mountains; Roan and Tavaputs Plateaus; Uncompahgre Plateau, Dallas Divide...","Region IV - North America, Central America and the CaribbeanRegion V - South West Pacific",2023-01-16 20:33,"Flat Tops; Northwestern San Juan Mountains; Roan and Tavaputs Plateaus; Uncompahgre Plateau, Dallas Divide..., United States of America","(None, None)"
Winter Storm Warning issued January 16 at 1:16PM MST until January 18 at 11:00AM MST by NWS GrandJunctionWinter Storm Warning,17 minutes ago,United States of America,Southwest San Juan Mountains,"Region IV - North America, Central America and the CaribbeanRegion V - South West Pacific",2023-01-16 20:33,"Southwest San Juan Mountains, United States of America","(None, None)"
Winter Storm Warning issued January 16 at 1:16PM MST until January 17 at 5:00PM MST by NWS GrandJunctionWinter Storm Warning,17 minutes ago,United States of America,Animas River Basin; San Juan River Basin,"Region IV - North America, Central America and the CaribbeanRegion V - South West Pacific",2023-01-16 20:33,"Animas River Basin; San Juan River Basin, United States of America","(None, None)"
Winter Storm Warning issued January 16 at 1:16PM MST until January 17 at 5:00PM MST by NWS GrandJunctionWinter Storm Warning,17 minutes ago,United States of America,"Four Corners, Upper Dolores River","Region IV - North America, Central America and the CaribbeanRegion V - South West Pacific",2023-01-16 20:33,"Four Corners, Upper Dolores River, United States of America","(None, None)"
Special Weather Statement issued January 16 at 1:11PM MST  by NWS RivertonSpecial Weather Statement,22 minutes ago,United States of America,Lander Foothills; Wind River Basin,"Region IV - North America, Central America and the CaribbeanRegion V - South West Pacific",2023-01-16 20:33,"Lander Foothills; Wind River Basin, United States of America","(None, None)"
Rip Current Statement issued January 16 at 3:11PM EST until January 21 at 7:00AM EST by NWS MobileRip Current Statement,22 minutes ago,United States of America,Escambia Coastal; Okaloosa Coastal; Santa Rosa Coastal...,"Region IV - North America, Central America and the CaribbeanRegion V - South West Pacific",2023-01-16 20:33,"Escambia Coastal; Okaloosa Coastal; Santa Rosa Coastal..., United States of America","(None, None)"
Rip Current Statement issued January 16 at 2:11PM CST until January 21 at 6:00AM CST by NWS MobileRip Current Statement,22 minutes ago,United States of America,Baldwin Coastal; Mobile Coastal,"Region IV - North America, Central America and the CaribbeanRegion V - South West Pacific",2023-01-16 20:33,"Baldwin Coastal; Mobile Coastal, United States of America","(None, None)"
