City,month_depart,minPrice,maxPrice,meanPrice
Fort Lauderdale,7,1330.68,1330.68,1330.68
Aqaba,12,653.43,1448.08,1332.99625
Kobe,8,1331.22,1334.36,1333.0142857142857
Xian,6,1346.37,1349.42,1348.0454545454545
Nampula,6,1347.29,1352.52,1350.2209090909091
Natal,6,1109.85,1436.48,1353.6725000000001
Cebu,8,1368.38,1368.38,1368.38
Quito,7,1400.59,1401.19,1400.847142857143
Oakland,10,1400.59,1401.19,1400.8899999999999
Curitiba,1,1394.53,1410.38,1403.4622222222222
Cozumel,7,1404.28,1404.28,1404.28
Windhoek,4,952.35,1500.81,1407.7441666666666
Foz do Iguaçu,2,1248.84,1428.77,1408.301111111111
Kralendijk,4,1200.03,1732.36,1413.5259999999998
Everett,6,1417.13,1420.23,1418.68
Adelaide,8,1385.89,1455.75,1422.3565217391304
Perth,11,1422.05,1425.4,1423.035
Burbank,5,1427.24,1427.24,1427.24
Phuket,2,1428.47,1431.53,1429.7566666666667
Sydney,4,1431.84,1434.97,1432.4633333333331
Phnom Penh,2,1437.33,1442.34,1439.5629999999999
Da Nang,3,1300.95,3086.67,1451.3791666666666
Tepic,3,1451.55,1451.66,1451.605
Beira,3,1451.14,1454.31,1452.6166666666666
Batam,6,1418.95,1491.61,1457.5925806451614
Chiang Mai,2,1472.51,1475.98,1474.8233333333335
Sydney,7,1472.73,1484.26,1479.73
Surakarta,2,1480.77,1483.93,1482.26
La Paz,2,1489.64,1492.21,1491.64875
Fort-de-France,2,1496.68,1496.79,1496.7350000000001
Sétif,2,1504.62,1507.84,1505.81
Oakland,4,1514.42,1514.42,1514.42
Busan,9,1529.39,1532.99,1530.5445454545456
Parikia,9,311.34,1650.7,1536.9991666666665
Burbank,9,1368.66,1626.4,1540.5033333333333
Burbank,6,1545.87,1545.87,1545.87
Bogotá,7,1549.55,1549.55,1549.55
Gustávia,2,1546.72,1550.22,1549.5566666666666
Satu Mare,5,1596.34,1599.83,1597.4342857142856
Gustávia,3,1620.22,1624.04,1621.882
Everett,7,1625.62,1625.75,1625.6633333333332
Montevidéu,8,1602.89,1704.96,1653.9250000000002
Krabi,2,1656.92,1660.82,1657.66
Las Vegas,2,676.96,6177.94,1667.73
Chiang Rai,7,1718.39,1722.43,1720.41
Auckland,7,1674.35,1802.6,1742.01
Tamuning,4,1768.38,1768.52,1768.45
George Town,7,1787.73,1787.73,1787.73
Papete,6,1741.13,1930.63,1795.8233333333333
Mombaça,2,1342.87,1964.29,1858.5583333333334
Nadi,9,1626.67,2194.19,1950.7757142857142
Ontário,4,1992.19,1992.19,1992.19
Brisbane,2,2087.98,2088.14,2088.06
Ushuaia,2,2105.48,2110.25,2109.3416666666667
Jacarta,7,2164.3,2169.03,2166.5044444444447
Jeju,7,2200.97,2206.15,2202.4925
Kingston,6,2219.32,2227.06,2222.774
Auckland,3,2233.74,2233.74,2233.74
Brive-la-Gaillarde,7,2285.37,2290.75,2287.374444444444
Vaitape,9,2394.97,2400.21,2397.0625
Camberra,2,2515.78,2524.55,2520.5025
Orlando,5,2714.79,2714.79,2714.79
Seattle,5,2823.23,2823.23,2823.23
Bridgetown,2,2828.73,2828.73,2828.73
Akureyri,9,2847.77,2854.47,2849.038888888889
Poznań,8,2958.78,2965.75,2962.2650000000003
La Rochelle,2,2965.2,2972.18,2967.7999999999997
Hobart,2,3204.63,3211.88,3210.5116666666668
Vaitape,2,3434.02,3442.11,3438.065
Everett,5,3582.65,3590.3,3587.0845454545456
Hong Kong,4,3014.49,3786.14,3673.1142857142854
Providenciales,2,3893.63,3893.63,3893.63
Vaitape,3,4059.57,4059.57,4059.57
Hong Kong,2,905.53,5125.91,4065.32625
Münster,7,10682.69,10682.69,10682.69
Paderborn,8,10713.07,10735.96,10726.34090909091
Münster,8,10743.35,10747.91,10744.87
Paderborn,7,13614.37,13644.14,13629.255000000001
Paderborn,4,13694.8,13694.8,13694.8
Münster,4,13708.62,13708.62,13708.62
